"日期","当前页URL","PageView的总次数"
"2018-04-27 ~ 2018-05-03合计","https://youdata.netease.com/dash/cockpitView","398"
" ","https://youdata.netease.com/dash/folder/32","228"
" ","https://youdata.netease.com/dash/folder/64","159"
" ","https://youdata.netease.com/dash/folder/450200494","126"
" ","https://youdata.netease.com/dash/folder/450200496","123"
" ","https://youdata.netease.com/dash/profile/info","120"
" ","https://netease.youdata.163.com/dash/domain/index","107"
" ","https://youdata.netease.com/dash/folder/3333","87"
" ","https://youdata.netease.com/dash/folder/450200413","86"
" ","https://youdata.netease.com/dash/folder/3187","84"
" ","https://youdata.netease.com/dash/folder/3254","80"
" ","https://youdata.netease.com/dash/dataModel/64","77"
" ","https://youdata.netease.com/dash/folder/450200074","74"
" ","https://youdata.netease.com/dash/folder/450200122","74"
" ","https://youdata.netease.com/dash/dataModel/450200122","74"
" ","https://youdata.netease.com/dash/folder/3184","73"
" ","https://youdata.netease.com/dash/dataModel/450200074","70"
" ","https://wangyigx.youdata.163.com/dash/dataModel/700218614","69"
" ","https://wangyigx.youdata.163.com/dash/screenView/700218614","64"
" ","https://youdata.netease.com/dash/folder/450200083","63"
" ","https://youdata.netease.com/dash/dataModel/450200511","62"
" ","https://richelieu.youdata.163.com/dash/dataModel/700218436","61"
" ","https://lk123.youdata.163.com/dash/folder/700218610","60"
" ","https://youdata.netease.com/dash/screenView/64","58"
" ","https://youdata.netease.com/dash/dataModel/450200413","56"
" ","https://lk123.youdata.163.com/dash/dataModel/700218610","55"
" ","https://youdata.netease.com/dash/dataModel/450200496","54"
" ","https://youdata.netease.com/dash/folder/3348","53"
" ","https://youdata.netease.com/dash/folder/3277","52"
" ","https://richelieu.youdata.163.com/dash/folder/700218436","50"
" ","https://by65413127.youdata.163.com/dash/dataModel/700218511","50"
" ","https://netease.youdata.163.com/dash/folder/700200097","49"
" ","https://youdata.netease.com/dash/profile/approving","47"
" ","https://netease.youdata.163.com/dash/dataModel/700215264","46"
" ","https://by65413127.youdata.163.com/dash/dataConnection/700218511","46"
" ","https://netease.youdata.163.com/dash/folder/700215264","45"
" ","https://youdata.netease.com/dash/folder/450200511","44"
" ","https://netease.youdata.163.com/dash/dataModel/700200097","44"
" ","https://wangyigx.youdata.163.com/dash/dataConnection/700218614","43"
" ","https://youdata.netease.com/dash/folder/450200441","42"
" ","https://youdata.netease.com/dash/folder/450200452","41"
" ","https://youdata.netease.com/dash/folder/3246","41"
" ","https://youdata.netease.com/dash/dataConnection/450200074","40"
" ","https://youdata.netease.com/dash/folder/3240","38"
" ","https://youdata.netease.com/dash/dataModel/3348","38"
" ","https://youdata.netease.com/dash/folder/450200427","38"
" ","https://youdata.netease.com/dash/dataConnection/64","37"
" ","https://youdata.netease.com/dash/noProjectPermission","34"
" ","https://netease.youdata.163.com/dash/dataModel/700205751","34"
" ","https://youdata.netease.com/dash/dataConnection/450200122","32"
" ","https://ytestt.youdata.163.com/dash/dataModel/700218272","31"
" ","https://youdata.netease.com/dash/dataConnection/450200511","30"
" ","https://youdata.netease.com/dash/folder/3192","30"
" ","https://youdata.netease.com/dash/profile/messages","30"
" ","https://youdata.netease.com/dash/project/64/info","30"
" ","https://lk123.youdata.163.com/dash/domain/index","29"
" ","https://youdata.netease.com/dash/dataModel/450200452","29"
" ","https://netease.youdata.163.com/dash/folder/700209493","28"
" ","https://youdata.netease.com/dash/dataModel/450200078","28"
" ","https://youdata.netease.com/dash/project/450200496/info","28"
" ","https://nari001.youdata.163.com/dash/folder/700218548","28"
" ","https://youdata.netease.com/dash/profile/approved","28"
" ","https://netease.youdata.163.com/dash/screenView/700200097","28"
" ","https://youdata.netease.com/dash/folder/450200098","27"
" ","https://netease.youdata.163.com/dash/dataConnection/700215264","27"
" ","https://youdata.netease.com/dash/dataModel/450200507","27"
" ","https://youdata.netease.com/dash/project/450200427/info","26"
" ","https://youdata.netease.com/dash/folder/3318","25"
" ","https://netease.youdata.163.com/dash/dataConnection/700200097","25"
" ","https://maosth.youdata.163.com/dash/dataModel/700218626","25"
" ","https://ytestt.youdata.163.com/dash/dataConnection/700218272","25"
