"日期","当前页URL","PageView的总次数"
"2018-04-27 ~ 2018-05-03合计","https://richelieu.youdata.163.com/dash/folder/700218436?rid=137627","96"
" ","https://youdata.netease.com/dash/18135/editor?pid=450200452","79"
" ","https://richelieu.youdata.163.com/dash/137627/editor?pid=700218436","79"
" ","https://lk123.youdata.163.com/dash/folder/700218610?rid=137864","74"
" ","https://wangyigx.youdata.163.com/dash/screenView/700218614?sid=4458","71"
" ","https://lk123.youdata.163.com/dash/folder/700218610?rid=137871","69"
" ","https://wangyigx.youdata.163.com/dash/screenView/700218614?sid=4460","67"
" ","https://youdata.netease.com/dash/18601/editor?pid=450200413&did=23494","63"
" ","https://wangyigx.youdata.163.com/dash/screenView/700218614?sid=4459","62"
" ","https://netease.youdata.163.com/dash/screenView/700215255?sid=4190","58"
" ","https://richelieu.youdata.163.com/dash/dataModel/700218436?mid=700266541","58"
" ","https://youdata.netease.com/dash/17579/editor?pid=450200074&did=21950","52"
" ","https://wangyigx.youdata.163.com/dash/screenEditor/4459?pid=700218614&did=445","51"
" ","https://wangyigx.youdata.163.com/dash/screenEditor/4458?pid=700218614&did=444","50"
" ","https://wangyigx.youdata.163.com/dash/screenView/700218614?sid=4459&did=445","49"
" ","https://youdata.netease.com/dash/17579/editor?pid=450200074&did=25158","43"
" ","https://by65413127.youdata.163.com/dash/dataConnection/700218511?cid=700302019","42"
" ","https://by65413127.youdata.163.com/dash/dataConnection/700218511?cid=700302067","40"
" ","https://lk123.youdata.163.com/dash/137871/editor?pid=700218610","40"
" ","https://youdata.netease.com/dash/18873/editor?pid=450200413","38"
" ","https://youdata.netease.com/dash/19845/editor?pid=450200496","38"
" ","https://wangyigx.youdata.163.com/dash/screenView/700218614?sid=4458&did=444","37"
" ","https://wangyigx.youdata.163.com/dash/screenEditor/4460?pid=700218614&did=446","37"
" ","https://lk123.youdata.163.com/dash/137864/editor?pid=700218610","36"
" ","https://maosth.youdata.163.com/dash/folder/700218626?rid=137896","36"
" ","https://youdata.netease.com/dash/19719/editor?pid=3348&did=24891","35"
" ","https://by65413127.youdata.163.com/dash/dataConnection/700218511?cid=700302333","35"
" ","https://youdata.netease.com/dash/19858/editor?pid=3348","34"
" ","https://netease.youdata.163.com/dash/screenView/700215264?sid=4440","31"
" ","https://pactera01.youdata.163.com/dash/folder/700211387?rid=101555","31"
" ","https://youdata.netease.com/dash/19777/editor?pid=450200496","30"
" ","https://wangyigx.youdata.163.com/dash/screenView/700218614?sid=4461","30"
" ","https://youdata.netease.com/dash/19719/editor?pid=3348&did=25126","30"
" ","https://databi.youdata.163.com/dash/137317/editor?pid=700218240","30"
" ","https://netease.youdata.163.com/dash/folder/700215264?rid=137860","29"
" ","https://lnrj123456.youdata.163.com/dash/137649/editor?pid=700218472","28"
" ","https://wangyigx.youdata.163.com/dash/screenView/700218614?sid=4460&did=446","28"
" ","https://youdata.netease.com/dash/17579/editor?pid=450200074&did=21952","28"
" ","https://youdata.netease.com/dash/dataConnection/450200122?cid=5373","28"
" ","https://lk123.youdata.163.com/dash/dataModel/700218610?mid=700266925","27"
" ","https://lk123.youdata.163.com/dash/folder/700218610?rid=137928","27"
" ","https://richelieu.youdata.163.com/dash/dataModel/editor/700218436?mid=700266541","27"
" ","https://abcyoudata.youdata.163.com/dash/folder/700218560?rid=137796","25"
" ","https://lk123.youdata.163.com/dash/folder/700218610?rid=137943","25"
" ","https://youdata.netease.com/dash/18601/editor?pid=450200413&did=25127","25"
" ","https://maosth.youdata.163.com/dash/137896/editor?pid=700218626","24"
" ","https://youdata.netease.com/dash/19719/editor?pid=3348&did=25139","24"
" ","https://netease.youdata.163.com/dash/screenView/700215255?sid=4457","24"
" ","https://pactera01.youdata.163.com/dash/folder/700211387?rid=137947","23"
" ","https://youdata.netease.com/dash/19821/editor?pid=3254","23"
" ","https://netease.youdata.163.com/dash/screenEditor/4440?pid=700215264&did=426","22"
" ","https://dandan.youdata.163.com/dash/folder/700218648?rid=137920","22"
" ","https://youdata.netease.com/dash/18837/editor?pid=450200413&did=25107","22"
" ","https://databi.youdata.163.com/dash/folder/700218240?rid=137317","22"
" ","https://youdata.netease.com/dash/19907/editor?pid=450200074","22"
" ","https://youdata.netease.com/dash/19719/editor?pid=3348&did=24892","22"
" ","https://youdata.netease.com/dash/18601/editor?pid=450200413&did=23547","21"
" ","https://richelieu.youdata.163.com/dash/dataModel/700218436?mid=700266307","21"
" ","https://lnrj123456.youdata.163.com/dash/folder/700218472?rid=137649","21"
" ","https://by65413127.youdata.163.com/dash/dataConnection/700218511?cid=700302398","21"
" ","https://youdata.netease.com/dash/18837/editor?pid=450200413&did=23832","20"
" ","https://by65413127.youdata.163.com/dash/dataConnection/700218511?cid=700301760","20"
" ","https://netease.youdata.163.com/dash/folder/700215264?rid=137848","20"
" ","https://littlestrawberry.youdata.163.com/dash/folder/700218623?rid=137882","19"
" ","https://lingsiyuntulexiangtianxia.youdata.163.com/dash/project/700218651/role?rid=3587","19"
" ","https://youdata.netease.com/dash/19719/editor?pid=3348&did=25161","19"
" ","https://youdata.netease.com/dash/11532/editor?pid=450200098","19"
" ","https://netease.youdata.163.com/dash/screenView/700215264?sid=4440&did=426","18"
" ","https://youdata.netease.com/dash/19822/editor?pid=450200452","18"
" ","https://youdata.netease.com/dash/19829/editor?pid=64&did=25123","18"
" ","https://pactera01.youdata.163.com/dash/101555/editor?pid=700211387","18"
" ","https://youdata.netease.com/dash/19777/editor?pid=450200496&did=25236","18"
" ","https://netease.youdata.163.com/dash/screenView/700215255?sid=4190&did=142","18"
" ","https://abcyoudata.youdata.163.com/dash/137796/editor?pid=700218560","17"
" ","https://netease.youdata.163.com/dash/dataModel/700205751?mid=700264292","17"
" ","https://youdata.netease.com/dash/17974/editor?pid=3242","16"
" ","https://netease.youdata.163.com/dash/screenView/700215255?sid=4195","16"
" ","https://netease.youdata.163.com/dash/screenView/700200097?sid=4437","16"
" ","https://youdata.netease.com/dash/19871/editor?pid=450200122","16"
" ","https://netease.youdata.163.com/dash/folder/700218229?rid=137949","15"
" ","https://chenfoli.youdata.163.com/dash/dataConnection/700218577?cid=700302111","15"
" ","https://maosth.youdata.163.com/dash/folder/700218626?rid=137887","15"
" ","https://youdata.netease.com/dash/19856/editor?pid=3333","15"
" ","https://dandan.youdata.163.com/dash/folder/700218648?rid=137936","15"
" ","https://youdata.netease.com/dash/19391/editor?pid=450200083","14"
" ","https://chenfoli.youdata.163.com/dash/dataModel/700218577?mid=700266820","14"
" ","https://youdata.netease.com/dash/19777/editor?pid=450200496&did=25211","14"
" ","https://netease.youdata.163.com/dash/screenView/700200097?sid=4442","14"
" ","https://chenfoli.youdata.163.com/dash/137828/editor?pid=700218577","14"
" ","https://youdata.netease.com/dash/19843/editor?pid=3333","14"
" ","https://youdata.netease.com/dash/19745/editor?pid=450200083&did=24955","14"
" ","https://lin.youdata.163.com/dash/dataConnection/700218591?cid=700302128","14"
" ","https://youdata.netease.com/dash/13093/editor?pid=3254&did=22528","14"
" ","https://qianxiaochen.youdata.163.com/dash/folder/700218491?rid=137932","14"
" ","https://netease.youdata.163.com/dash/folder/700209493?rid=63309","14"
" ","https://pingdingshan.youdata.163.com/dash/folder/700218649?rid=137922","14"
" ","https://landow.youdata.163.com/dash/dataModel/700218418?mid=700266924","13"
" ","https://youdata.netease.com/dash/19719/editor?pid=3348","13"
" ","https://chenfoli.youdata.163.com/dash/dataConnection/700218577?cid=700302096","13"
" ","https://netease.youdata.163.com/dash/screenView/700209493?sid=4400","13"
" ","https://cailimin.youdata.163.com/dash/folder/700218409?rid=137905","13"
" ","https://dandan.youdata.163.com/dash/137920/editor?pid=700218648","13"
" ","https://youdata.netease.com/dash/17619/editor?pid=450200413","13"
" ","https://youdata.netease.com/dash/dataConnection/450200074?cid=5728","13"
" ","https://wangyigx.youdata.163.com/dash/screenView/700218614?sid=4462","13"
" ","https://lk123.youdata.163.com/dash/137928/editor?pid=700218610","13"
" ","https://youdata.netease.com/dash/19719/editor?pid=3348&did=24890","13"
" ","https://netease.youdata.163.com/dash/137848/editor?pid=700215264","13"
" ","https://richelieu.youdata.163.com/dash/folder/700218436?rid=137948","13"
" ","https://pactera01.youdata.163.com/dash/137947/editor?pid=700211387","13"
" ","https://netease.youdata.163.com/dash/screenView/700215255?sid=4416","13"
" ","https://youdata.netease.com/dash/19916/editor?pid=450200074","13"
" ","https://chenfoli.youdata.163.com/dash/folder/700218577?rid=137828","12"
" ","https://chenfoli.youdata.163.com/dash/dataConnection/700218577?cid=700302091","12"
" ","https://netease.youdata.163.com/dash/folder/700215264?rid=137753","12"
" ","https://netease.youdata.163.com/dash/folder/700206187?rid=51862","12"
" ","https://youdata.netease.com/dash/19745/editor?pid=450200083&did=24956","12"
" ","https://netease.youdata.163.com/dash/screenView/700215264?sid=4436","12"
" ","https://youdata.netease.com/dash/18044/editor?pid=450200496&did=22798","12"
" ","https://youdata.netease.com/dash/19871/editor?pid=450200122&did=25210","12"
" ","https://youdata.netease.com/dash/19818/editor?pid=3188","12"
" ","https://lk123.youdata.163.com/dash/dataModel/editor/700218610?mid=700266925","12"
" ","https://littlestrawberry.youdata.163.com/dash/137882/editor?pid=700218623","12"
" ","https://sairong.youdata.163.com/dash/folder/700218208?rid=137268","11"
" ","https://chenfoli.youdata.163.com/dash/dataConnection/700218577?cid=700302085","11"
" ","https://youdata.netease.com/dash/19915/editor?pid=450200122","11"
" ","https://youdata.netease.com/dash/dataConnection/450200078?cid=5314","11"
" ","https://netease.youdata.163.com/dash/137860/editor?pid=700215264","11"
" ","https://paopaoxiu.youdata.163.com/dash/folder/700218554?rid=137782","11"
" ","https://richelieu.youdata.163.com/dash/137948/editor?pid=700218436","11"
" ","https://maosth.youdata.163.com/dash/dataConnection/700218626?cid=700302286","11"
" ","https://youdata.netease.com/dash/19653/editor?pid=450200427","11"
" ","https://netease.youdata.163.com/dash/137949/editor?pid=700218229","11"
" ","https://youdata.netease.com/dash/19883/editor?pid=64","11"
" ","https://qwe163.youdata.163.com/dash/project/700218602/role?rid=2","11"
" ","https://by65413127.youdata.163.com/dash/dataConnection/700218511?cid=700301758","11"
" ","https://lk123.youdata.163.com/dash/137943/editor?pid=700218610","11"
" ","https://youdata.netease.com/dash/11821/editor?pid=3333&did=23782","11"
" ","https://netease.youdata.163.com/dash/dataModel/editor/700205751?mid=700264292","11"
" ","https://chenfoli.youdata.163.com/dash/dataModel/700218577?mid=700266825","11"
" ","https://maosth.youdata.163.com/dash/dataModel/700218626?mid=700266990","11"
" ","https://youdata.netease.com/dash/3097/editor?pid=3188","11"
" ","https://dajia.youdata.163.com/dash/folder/700218335?rid=137474","10"
" ","https://youdata.netease.com/dash/19860/editor?pid=3333","10"
" ","https://sairong.youdata.163.com/dash/137268/editor?pid=700218208","10"
" ","https://youdata.netease.com/dash/18044/editor?pid=450200496&did=22781","10"
" ","https://netease.youdata.163.com/dash/screenView/700215255?sid=4172","10"
" ","https://youdata.netease.com/dash/19829/editor?pid=64&did=25122","10"
" ","https://cqx.youdata.163.com/dash/folder/700218507?rid=137698","10"
" ","https://sunyah.youdata.163.com/dash/folder/700218539?rid=137909","10"
" ","https://youdata.netease.com/dash/16793/editor?pid=3333","10"
" ","https://wangyigx.youdata.163.com/dash/dataConnection/700218614?cid=700302282","10"
" ","https://qwe163.youdata.163.com/dash/folder/700218602?rid=137853","10"
" ","https://netease.youdata.163.com/dash/screenView/700215255?sid=4467&did=453","10"
" ","https://qianxiaochen.youdata.163.com/dash/dataModel/700218491?mid=700267084","10"
" ","https://youdata.netease.com/dash/7175/editor?pid=3312","10"
" ","https://youdata.netease.com/dash/18379/editor?pid=450200496","10"
" ","https://landow.youdata.163.com/dash/dataConnection/700218418?cid=700301354","10"
" ","https://youdata.netease.com/dash/18853/editor?pid=450200496","10"
" ","https://netease.youdata.163.com/dash/folder/700205751?rid=135482","9"
" ","https://youdata.netease.com/dash/dataConnection/450200413?cid=5861","9"
" ","https://youdata.netease.com/dash/cockpitView?pid=3240&rid=15683","9"
" ","https://qwe163.youdata.163.com/dash/project/700218602/role?rid=3","9"
" ","https://qianxiaochen.youdata.163.com/dash/137932/editor?pid=700218491","9"
" ","https://tarot-info.youdata.163.com/dash/folder/700216082?rid=137423","9"
" ","https://youdata.netease.com/dash/18354/editor?pid=3333","9"
" ","https://youdata.netease.com/dash/19896/editor?pid=32","9"
" ","https://youdata.netease.com/dash/cockpitView?pid=3240&rid=17542","9"
" ","https://netease.youdata.163.com/dash/screenEditor/4431?pid=700218229&did=416","9"
" ","https://yanfa.youdata.163.com/dash/dataModel/editor/700218423?mid=700266278","9"
" ","https://nari001.youdata.163.com/dash/folder/700218548?rid=137809","9"
" ","https://netease.youdata.163.com/dash/screenEditor/4190?pid=700215255&did=142","9"
" ","https://netease.youdata.163.com/dash/screenView/700215264?sid=4436&did=421","9"
" ","https://maosth.youdata.163.com/dash/dataModel/700218626?mid=700267012","9"
" ","https://youdata.netease.com/dash/dataConnection/32?cid=5847","9"
" ","https://netease.youdata.163.com/dash/integration/700200097?rid=137309&did=159448&token=152501722567867eb1ea76ef06bc59978a9bf&toolbar=[%22export%22]","9"
" ","https://youdata.netease.com/dash/19777/editor?pid=450200496&did=25218","9"
" ","https://by65413127.youdata.163.com/dash/dataConnection/700218511?cid=700302483","9"
" ","https://lingsiyuntulexiangtianxia.youdata.163.com/dash/project/700218651/role?rid=3","9"
" ","https://netease.youdata.163.com/dash/screenView/700200097?sid=4218","9"
" ","https://netease.youdata.163.com/dash/screenEditor/4436?pid=700215264&did=421","9"
" ","https://dandan.youdata.163.com/dash/137936/editor?pid=700218648&did=160247","9"
" ","https://youdata.netease.com/dash/7175/editor?pid=3312&did=25150","8"
" ","https://netease.youdata.163.com/dash/screenView/700206187?sid=4394","8"
" ","https://youdata.netease.com/dash/19871/editor?pid=450200122&did=25276","8"
" ","https://wujiyuan.youdata.163.com/dash/137879/editor?pid=700218619","8"
" ","https://dandan.youdata.163.com/dash/137936/editor?pid=700218648&did=160297","8"
" ","https://youdata.netease.com/dash/18379/editor?pid=450200496&did=23161","8"
" ","https://youdata.netease.com/dash/19777/editor?pid=450200496&did=25113","8"
" ","https://talkpal.youdata.163.com/dash/folder/700218621?rid=137929","8"
" ","https://netease.youdata.163.com/dash/dataConnection/700200097?cid=700302205","8"
